,Lines
11031,"collected: performing all the duties which had devolved upon her,"
11032,"steadily, and, to all external appearances, even cheerfully.  But he"
11033,"was young, and did not know what strong minds are capable of, under"
11034,"trying circumstances.  How should he, when their possessors so seldom"
11035,know themselves?
11037,"An anxious night ensued.  When morning came, Mrs. Maylie's predictions"
11038,were but too well verified.  Rose was in the first stage of a high and
11039,dangerous fever.
11041,"'We must be active, Oliver, and not give way to useless grief,' said"
11042,"Mrs. Maylie, laying her finger on her lip, as she looked steadily into"
11043,"his face; 'this letter must be sent, with all possible expedition, to"
11044,Mr. Losberne.  It must be carried to the market-town: which is not more
11045,"than four miles off, by the footpath across the field:  and thence"
11046,"dispatched, by an express on horseback, straight to Chertsey. The"
11047,people at the inn will undertake to do this: and I can trust to you to
11048,"see it done, I know.'"
11050,"Oliver could make no reply, but looked his anxiety to be gone at once."
11052,"'Here is another letter,' said Mrs. Maylie, pausing to reflect; 'but"
11053,"whether to send it now, or wait until I see how Rose goes on, I"
11054,"scarcely know.  I would not forward it, unless I feared the worst.'"
11056,"'Is it for Chertsey, too, ma'am?' inquired Oliver; impatient to execute"
11057,"his commission, and holding out his trembling hand for the letter."
11059,"'No,' replied the old lady, giving it to him mechanically. Oliver"
11060,"glanced at it, and saw that it was directed to Harry Maylie, Esquire,"
11061,"at some great lord's house in the country; where, he could not make out."
11063,"'Shall it go, ma'am?' asked Oliver, looking up, impatiently."
11065,"'I think not,' replied Mrs. Maylie, taking it back.  'I will wait until"
11066,to-morrow.'
11068,"With these words, she gave Oliver her purse, and he started off,"
11069,"without more delay, at the greatest speed he could muster."
11071,"Swiftly he ran across the fields, and down the little lanes which"
11072,sometimes divided them: now almost hidden by the high corn on either
11073,"side, and now emerging on an open field, where the mowers and haymakers"
11074,"were busy at their work:  nor did he stop once, save now and then, for"
11075,"a few seconds, to recover breath, until he came, in a great heat, and"
11076,"covered with dust, on the little market-place of the market-town."
11078,"Here he paused, and looked about for the inn.  There were a white bank,"
11079,"and a red brewery, and a yellow town-hall; and in one corner there was"
11080,"a large house, with all the wood about it painted green:  before which"
11081,"was the sign of 'The George.'  To this he hastened, as soon as it"
11082,caught his eye.
11084,"He spoke to a postboy who was dozing under the gateway; and who, after"
11085,"hearing what he wanted, referred him to the ostler; who after hearing"
11086,"all he had to say again, referred him to the landlord; who was a tall"
11087,"gentleman in a blue neckcloth, a white hat, drab breeches, and boots"
11088,"with tops to match, leaning against a pump by the stable-door, picking"
11089,his teeth with a silver toothpick.
11091,This gentleman walked with much deliberation into the bar to make out
11092,"the bill:  which took a long time making out:  and after it was ready,"
11093,"and paid, a horse had to be saddled, and a man to be dressed, which"
11094,took up ten good minutes more.  Meanwhile Oliver was in such a
11095,"desperate state of impatience and anxiety, that he felt as if he could"
11096,"have jumped upon the horse himself, and galloped away, full tear, to"
11097,"the next stage.  At length, all was ready; and the little parcel having"
11098,"been handed up, with many injunctions and entreaties for its speedy"
11099,"delivery, the man set spurs to his horse, and rattling over the uneven"
11100,"paving of the market-place, was out of the town, and galloping along"
11101,"the turnpike-road, in a couple of minutes."
11103,"As it was something to feel certain that assistance was sent for, and"
11104,"that no time had been lost, Oliver hurried up the inn-yard, with a"
11105,somewhat lighter heart.  He was turning out of the gateway when he
11106,"accidently stumbled against a tall man wrapped in a cloak, who was at"
11107,that moment coming out of the inn door.
11109,"'Hah!' cried the man, fixing his eyes on Oliver, and suddenly"
11110,recoiling.  'What the devil's this?'
11112,"'I beg your pardon, sir,' said Oliver; 'I was in a great hurry to get"
11113,"home, and didn't see you were coming.'"
11115,"'Death!' muttered the man to himself, glaring at the boy with his large"
11116,dark eyes.  'Who would have thought it! Grind him to ashes! He'd start
11117,"up from a stone coffin, to come in my way!'"
11119,"'I am sorry,' stammered Oliver, confused by the strange man's wild"
11120,look.  'I hope I have not hurt you!'
11122,"'Rot you!' murmured the man, in a horrible passion; between his"
11123,"clenched teeth; 'if I had only had the courage to say the word, I might"
11124,"have been free of you in a night.  Curses on your head, and black death"
11125,"on your heart, you imp!  What are you doing here?'"
11127,"The man shook his fist, as he uttered these words incoherently. He"
11128,"advanced towards Oliver, as if with the intention of aiming a blow at"
11129,"him, but fell violently on the ground:  writhing and foaming, in a fit."
11131,"Oliver gazed, for a moment, at the struggles of the madman (for such he"
11132,supposed him to be); and then darted into the house for help.  Having
11133,"seen him safely carried into the hotel, he turned his face homewards,"
11134,"running as fast as he could, to make up for lost time:  and recalling"
11135,"with a great deal of astonishment and some fear, the extraordinary"
11136,behaviour of the person from whom he had just parted.
11138,"The circumstance did not dwell in his recollection long, however: for"
11139,"when he reached the cottage, there was enough to occupy his mind, and"
11140,to drive all considerations of self completely from his memory.
11142,Rose Maylie had rapidly grown worse; before mid-night she was
11143,"delirious.  A medical practitioner, who resided on the spot, was in"
11144,"constant attendance upon her; and after first seeing the patient, he"
11145,"had taken Mrs. Maylie aside, and pronounced her disorder to be one of a"
11146,"most alarming nature. 'In fact,' he said, 'it would be little short of"
11147,"a miracle, if she recovered.'"
11149,"How often did Oliver start from his bed that night, and stealing out,"
11150,"with noiseless footstep, to the staircase, listen for the slightest"
11151,"sound from the sick chamber!  How often did a tremble shake his frame,"
11152,"and cold drops of terror start upon his brow, when a sudden trampling"
11153,"of feet caused him to fear that something too dreadful to think of, had"
11154,even then occurred!  And what had been the fervency of all the prayers
11155,"he had ever muttered, compared with those he poured forth, now, in the"
11156,agony and passion of his supplication for the life and health of the
11157,"gentle creature, who was tottering on the deep grave's verge!"
11159,"Oh! the suspense, the fearful, acute suspense, of standing idly by"
11160,"while the life of one we dearly love, is trembling in the balance!  Oh!"
11161,"the racking thoughts that crowd upon the mind, and make the heart beat"
11162,"violently, and the breath come thick, by the force of the images they"
11163,conjure up before it; the desperate anxiety _to be doing something_ to
11164,"relieve the pain, or lessen the danger, which we have no power to"
11165,"alleviate; the sinking of soul and spirit, which the sad remembrance of"
11166,our helplessness produces; what tortures can equal these; what
11167,"reflections or endeavours can, in the full tide and fever of the time,"
11168,allay them!
11170,Morning came; and the little cottage was lonely and still. People spoke
11171,"in whispers; anxious faces appeared at the gate, from time to time;"
11172,"women and children went away in tears. All the livelong day, and for"
11173,"hours after it had grown dark, Oliver paced softly up and down the"
11174,"garden, raising his eyes every instant to the sick chamber, and"
11175,"shuddering to see the darkened window, looking as if death lay"
11176,"stretched inside.  Late that night, Mr. Losberne arrived.  'It is"
11177,"hard,' said the good doctor, turning away as he spoke; 'so young; so"
11178,much beloved; but there is very little hope.'
11180,Another morning.  The sun shone brightly; as brightly as if it looked
11181,"upon no misery or care; and, with every leaf and flower in full bloom"
11182,"about her; with life, and health, and sounds and sights of joy,"
11183,"surrounding her on every side: the fair young creature lay, wasting"
11184,"fast.  Oliver crept away to the old churchyard, and sitting down on one"
11185,"of the green mounds, wept and prayed for her, in silence."
11187,There was such peace and beauty in the scene; so much of brightness and
11188,mirth in the sunny landscape; such blithesome music in the songs of the
11189,"summer birds; such freedom in the rapid flight of the rook, careering"
11190,"overhead; so much of life and joyousness in all; that, when the boy"
11191,"raised his aching eyes, and looked about, the thought instinctively"
11192,"occurred to him, that this was not a time for death; that Rose could"
11193,surely never die when humbler things were all so glad and gay; that
11194,graves were for cold and cheerless winter:  not for sunlight and
11195,fragrance. He almost thought that shrouds were for the old and
11196,shrunken; and that they never wrapped the young and graceful form in
11197,their ghastly folds.
11199,A knell from the church bell broke harshly on these youthful thoughts.
11200,Another!  Again!  It was tolling for the funeral service.  A group of
11201,humble mourners entered the gate: wearing white favours; for the corpse
11202,was young.  They stood uncovered by a grave; and there was a mother--a
11203,"mother once--among the weeping train.  But the sun shone brightly, and"
11204,the birds sang on.
11206,"Oliver turned homeward, thinking on the many kindnesses he had received"
11207,"from the young lady, and wishing that the time could come again, that"
11208,he might never cease showing her how grateful and attached he was.  He
11209,"had no cause for self-reproach on the score of neglect, or want of"
11210,"thought, for he had been devoted to her service; and yet a hundred"
11211,"little occasions rose up before him, on which he fancied he might have"
11212,"been more zealous, and more earnest, and wished he had been.  We need"
11213,"be careful how we deal with those about us, when every death carries to"
11214,"some small circle of survivors, thoughts of so much omitted, and so"
11215,"little done--of so many things forgotten, and so many more which might"
11216,have been repaired!  There is no remorse so deep as that which is
11217,"unavailing; if we would be spared its tortures, let us remember this,"
11218,in time.
11220,When he reached home Mrs. Maylie was sitting in the little parlour.
11221,Oliver's heart sank at sight of her; for she had never left the bedside
11222,of her niece; and he trembled to think what change could have driven
11223,"her away.  He learnt that she had fallen into a deep sleep, from which"
11224,"she would waken, either to recovery and life, or to bid them farewell,"
11225,and die.
11227,"They sat, listening, and afraid to speak, for hours.  The untasted meal"
11228,"was removed, with looks which showed that their thoughts were"
11229,"elsewhere, they watched the sun as he sank lower and lower, and, at"
11230,"length, cast over sky and earth those brilliant hues which herald his"
11231,departure.  Their quick ears caught the sound of an approaching
11232,"footstep.  They both involuntarily darted to the door, as Mr. Losberne"
11233,entered.
11235,'What of Rose?' cried the old lady.  'Tell me at once!  I can bear it;
11236,"anything but suspense!  Oh, tell me! in the name of Heaven!'"
11238,"'You must compose yourself,' said the doctor supporting her. 'Be calm,"
11239,"my dear ma'am, pray.'"
11241,"'Let me go, in God's name!  My dear child!  She is dead! She is dying!'"
11243,"'No!' cried the doctor, passionately.  'As He is good and merciful, she"
11244,"will live to bless us all, for years to come.'"
11246,"The lady fell upon her knees, and tried to fold her hands together; but"
11247,"the energy which had supported her so long, fled up to Heaven with her"
11248,first thanksgiving; and she sank into the friendly arms which were
11249,extended to receive her.
11259,It was almost too much happiness to bear.  Oliver felt stunned and
11260,"stupefied by the unexpected intelligence; he could not weep, or speak,"
11261,or rest.  He had scarcely the power of understanding anything that had
11262,"passed, until, after a long ramble in the quiet evening air, a burst of"
11263,"tears came to his relief, and he seemed to awaken, all at once, to a"
11264,"full sense of the joyful change that had occurred, and the almost"
11265,insupportable load of anguish which had been taken from his breast.
11267,"The night was fast closing in, when he returned homeward:  laden with"
11268,"flowers which he had culled, with peculiar care, for the adornment of"
11269,"the sick chamber.  As he walked briskly along the road, he heard behind"
11270,"him, the noise of some vehicle, approaching at a furious pace.  Looking"
11271,"round, he saw that it was a post-chaise, driven at great speed; and as"
11272,"the horses were galloping, and the road was narrow, he stood leaning"
11273,against a gate until it should have passed him.
11275,"As it dashed on, Oliver caught a glimpse of a man in a white nightcap,"
11276,"whose face seemed familiar to him, although his view was so brief that"
11277,"he could not identify the person.  In another second or two, the"
11278,"nightcap was thrust out of the chaise-window, and a stentorian voice"
11279,"bellowed to the driver to stop:  which he did, as soon as he could pull"
11280,"up his horses.  Then, the nightcap once again appeared: and the same"
11281,voice called Oliver by his name.
11283,"'Here!' cried the voice.  'Oliver, what's the news?  Miss Rose! Master"
11284,O-li-ver!'
11286,"'Is is you, Giles?' cried Oliver, running up to the chaise-door."
11288,"Giles popped out his nightcap again, preparatory to making some reply,"
11289,when he was suddenly pulled back by a young gentleman who occupied the
11290,"other corner of the chaise, and who eagerly demanded what was the news."
11292,"'In a word!' cried the gentleman, 'Better or worse?'"
11294,"'Better--much better!' replied Oliver, hastily."
11296,'Thank Heaven!' exclaimed the gentleman.  'You are sure?'
11298,"'Quite, sir,' replied Oliver.  'The change took place only a few hours"
11299,"ago; and Mr. Losberne says, that all danger is at an end.'"
11301,"The gentleman said not another word, but, opening the chaise-door,"
11302,"leaped out, and taking Oliver hurriedly by the arm, led him aside."
11304,'You are quite certain?  There is no possibility of any mistake on your
11305,"part, my boy, is there?' demanded the gentleman in a tremulous voice."
11306,"'Do not deceive me, by awakening hopes that are not to be fulfilled.'"
11308,"'I would not for the world, sir,' replied Oliver.  'Indeed you may"
11309,"believe me.  Mr. Losberne's words were, that she would live to bless us"
11310,all for many years to come.  I heard him say so.'
11312,The tears stood in Oliver's eyes as he recalled the scene which was the
11313,"beginning of so much happiness; and the gentleman turned his face away,"
11314,"and remained silent, for some minutes.  Oliver thought he heard him"
11315,"sob, more than once; but he feared to interrupt him by any fresh"
11316,remark--for he could well guess what his feelings were--and so stood
11317,"apart, feigning to be occupied with his nosegay."
11319,"All this time, Mr. Giles, with the white nightcap on, had been sitting"
11320,"on the steps of the chaise, supporting an elbow on each knee, and"
11321,wiping his eyes with a blue cotton pocket-handkerchief dotted with
11322,"white spots.  That the honest fellow had not been feigning emotion, was"
11323,abundantly demonstrated by the very red eyes with which he regarded the
11324,"young gentleman, when he turned round and addressed him."
11326,"'I think you had better go on to my mother's in the chaise, Giles,'"
11327,"said he.  'I would rather walk slowly on, so as to gain a little time"
11328,before I see her.  You can say I am coming.'
11330,"'I beg your pardon, Mr. Harry,' said Giles:  giving a final polish to"
11331,his ruffled countenance with the handkerchief; 'but if you would leave
11332,"the postboy to say that, I should be very much obliged to you.  It"
11333,"wouldn't be proper for the maids to see me in this state, sir; I should"
11334,never have any more authority with them if they did.'
11336,"'Well,' rejoined Harry Maylie, smiling, 'you can do as you like. Let"
11337,"him go on with the luggage, if you wish it, and do you follow with us."
11338,"Only first exchange that nightcap for some more appropriate covering,"
11339,or we shall be taken for madmen.'
11341,"Mr. Giles, reminded of his unbecoming costume, snatched off and"
11342,"pocketed his nightcap; and substituted a hat, of grave and sober shape,"
11343,"which he took out of the chaise.  This done, the postboy drove off;"
11344,"Giles, Mr. Maylie, and Oliver, followed at their leisure."
11346,"As they walked along, Oliver glanced from time to time with much"
11347,interest and curiosity at the new comer.  He seemed about
11348,"five-and-twenty years of age, and was of the middle height; his"
11349,countenance was frank and handsome; and his demeanor easy and
11350,"prepossessing.  Notwithstanding the difference between youth and age,"
11351,"he bore so strong a likeness to the old lady, that Oliver would have"
11352,"had no great difficulty in imagining their relationship, if he had not"
11353,already spoken of her as his mother.
11355,Mrs. Maylie was anxiously waiting to receive her son when he reached
11356,the cottage.  The meeting did not take place without great emotion on
11357,both sides.
11359,'Mother!' whispered the young man; 'why did you not write before?'
11361,"'I did,' replied Mrs. Maylie; 'but, on reflection, I determined to keep"
11362,back the letter until I had heard Mr. Losberne's opinion.'
11364,"'But why,' said the young man, 'why run the chance of that occurring"
11365,which so nearly happened?  If Rose had--I cannot utter that word
11366,"now--if this illness had terminated differently, how could you ever"
11367,have forgiven yourself!  How could I ever have know happiness again!'
11369,"'If that _had_ been the case, Harry,' said Mrs. Maylie, 'I fear your"
11370,"happiness would have been effectually blighted, and that your arrival"
11371,"here, a day sooner or a day later, would have been of very, very little"
11372,import.'
11374,"'And who can wonder if it be so, mother?' rejoined the young man; 'or"
11375,"why should I say, _if_?--It is--it is--you know it, mother--you must"
11376,know it!'
11378,'I know that she deserves the best and purest love the heart of man can
11379,"offer,' said Mrs. Maylie; 'I know that the devotion and affection of"
11380,"her nature require no ordinary return, but one that shall be deep and"
11381,"lasting.  If I did not feel this, and know, besides, that a changed"
11382,"behaviour in one she loved would break her heart, I should not feel my"
11383,"task so difficult of performance, or have to encounter so many"
11384,"struggles in my own bosom, when I take what seems to me to be the"
11385,strict line of duty.'
11387,"'This is unkind, mother,' said Harry.  'Do you still suppose that I am"
11388,"a boy ignorant of my own mind, and mistaking the impulses of my own"
11389,soul?'
11391,"'I think, my dear son,' returned Mrs. Maylie, laying her hand upon his"
11392,"shoulder, 'that youth has many generous impulses which do not last; and"
11393,"that among them are some, which, being gratified, become only the more"
11394,"fleeting.  Above all, I think' said the lady, fixing her eyes on her"
11395,"son's face, 'that if an enthusiastic, ardent, and ambitious man marry a"
11396,"wife on whose name there is a stain, which, though it originate in no"
11397,"fault of hers, may be visited by cold and sordid people upon her, and"
11398,"upon his children also: and, in exact proportion to his success in the"
11399,"world, be cast in his teeth, and made the subject of sneers against"
11400,"him:  he may, no matter how generous and good his nature, one day"
11401,repent of the connection he formed in early life.  And she may have the
11402,pain of knowing that he does so.'
11404,"'Mother,' said the young man, impatiently, 'he would be a selfish"
11405,"brute, unworthy alike of the name of man and of the woman you describe,"
11406,who acted thus.'
11408,"'You think so now, Harry,' replied his mother."
11410,'And ever will!' said the young man.  'The mental agony I have
11411,"suffered, during the last two days, wrings from me the avowal to you of"
11412,"a passion which, as you well know, is not one of yesterday, nor one I"
11413,"have lightly formed.  On Rose, sweet, gentle girl! my heart is set, as"
11414,"firmly as ever heart of man was set on woman.  I have no thought, no"
11415,"view, no hope in life, beyond her; and if you oppose me in this great"
11416,"stake, you take my peace and happiness in your hands, and cast them to"
11417,"the wind.  Mother, think better of this, and of me, and do not"
11418,disregard the happiness of which you seem to think so little.'
11420,"'Harry,' said Mrs. Maylie, 'it is because I think so much of warm and"
11421,"sensitive hearts, that I would spare them from being wounded. But we"
11422,"have said enough, and more than enough, on this matter, just now.'"
11424,"'Let it rest with Rose, then,' interposed Harry.  'You will not press"
11425,"these overstrained opinions of yours, so far, as to throw any obstacle"
11426,in my way?'
11428,"'I will not,' rejoined Mrs. Maylie; 'but I would have you consider--'"
11430,"'I _have_ considered!' was the impatient reply; 'Mother, I have"
11431,"considered, years and years.  I have considered, ever since I have been"
11432,"capable of serious reflection.  My feelings remain unchanged, as they"
11433,ever will; and why should I suffer the pain of a delay in giving them
11434,"vent, which can be productive of no earthly good?  No!  Before I leave"
11435,"this place, Rose shall hear me.'"
11437,"'She shall,' said Mrs. Maylie."
11439,"'There is something in your manner, which would almost imply that she"
11440,"will hear me coldly, mother,' said the young man."
11442,"'Not coldly,' rejoined the old lady; 'far from it.'"
11444,'How then?' urged the young man.  'She has formed no other attachment?'
11446,"'No, indeed,' replied his mother; 'you have, or I mistake, too strong a"
11447,"hold on her affections already.  What I would say,' resumed the old"
11448,"lady, stopping her son as he was about to speak, 'is this.  Before you"
11449,stake your all on this chance; before you suffer yourself to be carried
11450,"to the highest point of hope; reflect for a few moments, my dear child,"
11451,"on Rose's history, and consider what effect the knowledge of her"
11452,"doubtful birth may have on her decision:  devoted as she is to us, with"
11453,"all the intensity of her noble mind, and with that perfect sacrifice of"
11454,"self which, in all matters, great or trifling, has always been her"
11455,characteristic.'
11457,'What do you mean?'
11459,"'That I leave you to discover,' replied Mrs. Maylie.  'I must go back"
11460,to her.  God bless you!'
11462,"'I shall see you again to-night?' said the young man, eagerly."
11464,"'By and by,' replied the lady; 'when I leave Rose.'"
11466,'You will tell her I am here?' said Harry.
11468,"'Of course,' replied Mrs. Maylie."
11470,"'And say how anxious I have been, and how much I have suffered, and how"
11471,"I long to see her.  You will not refuse to do this, mother?'"
11473,"'No,' said the old lady; 'I will tell her all.'  And pressing her son's"
11474,"hand, affectionately, she hastened from the room."
11476,Mr. Losberne and Oliver had remained at another end of the apartment
11477,while this hurried conversation was proceeding.  The former now held
11478,out his hand to Harry Maylie; and hearty salutations were exchanged
11479,"between them.  The doctor then communicated, in reply to multifarious"
11480,"questions from his young friend, a precise account of his patient's"
11481,"situation; which was quite as consolatory and full of promise, as"
11482,Oliver's statement had encouraged him to hope; and to the whole of
11483,"which, Mr. Giles, who affected to be busy about the luggage, listened"
11484,with greedy ears.
11486,"'Have you shot anything particular, lately, Giles?' inquired the"
11487,"doctor, when he had concluded."
11489,"'Nothing particular, sir,' replied Mr. Giles, colouring up to the eyes."
11491,"'Nor catching any thieves, nor identifying any house-breakers?' said"
11492,the doctor.
11494,"'None at all, sir,' replied Mr. Giles, with much gravity."
11496,"'Well,' said the doctor, 'I am sorry to hear it, because you do that"
11497,"sort of thing admirably.  Pray, how is Brittles?'"
11499,"'The boy is very well, sir,' said Mr. Giles, recovering his usual tone"
11500,"of patronage; 'and sends his respectful duty, sir.'"
11502,"'That's well,' said the doctor.  'Seeing you here, reminds me, Mr."
11503,"Giles, that on the day before that on which I was called away so"
11504,"hurriedly, I executed, at the request of your good mistress, a small"
11505,"commission in your favour.  Just step into this corner a moment, will"
11506,you?'
11508,"Mr. Giles walked into the corner with much importance, and some wonder,"
11509,"and was honoured with a short whispering conference with the doctor, on"
11510,"the termination of which, he made a great many bows, and retired with"
11511,steps of unusual stateliness.  The subject matter of this conference
11512,"was not disclosed in the parlour, but the kitchen was speedily"
11513,"enlightened concerning it; for Mr. Giles walked straight thither, and"
11514,"having called for a mug of ale, announced, with an air of majesty,"
11515,"which was highly effective, that it had pleased his mistress, in"
11516,consideration of his gallant behaviour on the occasion of that
11517,"attempted robbery, to deposit, in the local savings-bank, the sum of"
11518,"five-and-twenty pounds, for his sole use and benefit.  At this, the two"
11519,"women-servants lifted up their hands and eyes, and supposed that Mr."
11520,"Giles, pulling out his shirt-frill, replied, 'No, no'; and that if they"
11521,"observed that he was at all haughty to his inferiors, he would thank"
11522,"them to tell him so.  And then he made a great many other remarks, no"
11523,"less illustrative of his humility, which were received with equal"
11524,"favour and applause, and were, withal, as original and as much to the"
11525,"purpose, as the remarks of great men commonly are."
11527,"Above stairs, the remainder of the evening passed cheerfully away; for"
11528,the doctor was in high spirits; and however fatigued or thoughtful
11529,"Harry Maylie might have been at first, he was not proof against the"
11530,"worthy gentleman's good humour, which displayed itself in a great"
11531,"variety of sallies and professional recollections, and an abundance of"
11532,"small jokes, which struck Oliver as being the drollest things he had"
11533,"ever heard, and caused him to laugh proportionately; to the evident"
11534,"satisfaction of the doctor, who laughed immoderately at himself, and"
11535,"made Harry laugh almost as heartily, by the very force of sympathy."
11536,"So, they were as pleasant a party as, under the circumstances, they"
11537,"could well have been; and it was late before they retired, with light"
11538,"and thankful hearts, to take that rest of which, after the doubt and"
11539,"suspense they had recently undergone, they stood much in need."
11541,"Oliver rose next morning, in better heart, and went about his usual"
11542,"occupations, with more hope and pleasure than he had known for many"
11543,"days.  The birds were once more hung out, to sing, in their old places;"
11544,"and the sweetest wild flowers that could be found, were once more"
11545,gathered to gladden Rose with their beauty. The melancholy which had
11546,"seemed to the sad eyes of the anxious boy to hang, for days past, over"
11547,"every object, beautiful as all were, was dispelled by magic.  The dew"
11548,seemed to sparkle more brightly on the green leaves; the air to rustle
11549,among them with a sweeter music; and the sky itself to look more blue
11550,and bright. Such is the influence which the condition of our own
11551,"thoughts, exercise, even over the appearance of external objects.  Men"
11552,"who look on nature, and their fellow-men, and cry that all is dark and"
11553,"gloomy, are in the right; but the sombre colours are reflections from"
11554,"their own jaundiced eyes and hearts.  The real hues are delicate, and"
11555,need a clearer vision.
11557,"It is worthy of remark, and Oliver did not fail to note it at the time,"
11558,"that his morning expeditions were no longer made alone. Harry Maylie,"
11559,"after the very first morning when he met Oliver coming laden home, was"
11560,"seized with such a passion for flowers, and displayed such a taste in"
11561,"their arrangement, as left his young companion far behind.  If Oliver"
11562,"were behindhand in these respects, he knew where the best were to be"
11563,"found; and morning after morning they scoured the country together, and"
11564,brought home the fairest that blossomed.  The window of the young
11565,lady's chamber was opened now; for she loved to feel the rich summer
11566,"air stream in, and revive her with its freshness; but there always"
11567,"stood in water, just inside the lattice, one particular little bunch,"
11568,"which was made up with great care, every morning.  Oliver could not"
11569,"help noticing that the withered flowers were never thrown away,"
11570,"although the little vase was regularly replenished; nor, could he help"
11571,"observing, that whenever the doctor came into the garden, he invariably"
11572,"cast his eyes up to that particular corner, and nodded his head most"
11573,"expressively, as he set forth on his morning's walk.  Pending these"
11574,"observations, the days were flying by; and Rose was rapidly recovering."
11576,"Nor did Oliver's time hang heavy on his hands, although the young lady"
11577,"had not yet left her chamber, and there were no evening walks, save now"
11578,"and then, for a short distance, with Mrs. Maylie. He applied himself,"
11579,"with redoubled assiduity, to the instructions of the white-headed old"
11580,"gentleman, and laboured so hard that his quick progress surprised even"
11581,"himself.  It was while he was engaged in this pursuit, that he was"
11582,greatly startled and distressed by a most unexpected occurrence.
11584,"The little room in which he was accustomed to sit, when busy at his"
11585,"books, was on the ground-floor, at the back of the house.  It was quite"
11586,"a cottage-room, with a lattice-window: around which were clusters of"
11587,"jessamine and honeysuckle, that crept over the casement, and filled the"
11588,"place with their delicious perfume.  It looked into a garden, whence a"
11589,"wicket-gate opened into a small paddock; all beyond, was fine"
11590,"meadow-land and wood.  There was no other dwelling near, in that"
11591,direction; and the prospect it commanded was very extensive.
11593,"One beautiful evening, when the first shades of twilight were beginning"
11594,"to settle upon the earth, Oliver sat at this window, intent upon his"
11595,"books.  He had been poring over them for some time; and, as the day had"
11596,"been uncommonly sultry, and he had exerted himself a great deal, it is"
11597,"no disparagement to the authors, whoever they may have been, to say,"
11598,"that gradually and by slow degrees, he fell asleep."
11600,"There is a kind of sleep that steals upon us sometimes, which, while it"
11601,"holds the body prisoner, does not free the mind from a sense of things"
11602,"about it, and enable it to ramble at its pleasure.  So far as an"
11603,"overpowering heaviness, a prostration of strength, and an utter"
11604,"inability to control our thoughts or power of motion, can be called"
11605,"sleep, this is it; and yet, we have a consciousness of all that is"
11606,"going on about us, and, if we dream at such a time, words which are"
11607,"really spoken, or sounds which really exist at the moment, accommodate"
11608,"themselves with surprising readiness to our visions, until reality and"
11609,imagination become so strangely blended that it is afterwards almost
11610,"matter of impossibility to separate the two.  Nor is this, the most"
11611,striking phenomenon incidental to such a state.  It is an undoubted
11612,"fact, that although our senses of touch and sight be for the time dead,"
11613,"yet our sleeping thoughts, and the visionary scenes that pass before"
11614,"us, will be influenced and materially influenced, by the _mere silent"
11615,presence_ of some external object; which may not have been near us when
11616,we closed our eyes:  and of whose vicinity we have had no waking
11617,consciousness.
11619,"Oliver knew, perfectly well, that he was in his own little room; that"
11620,his books were lying on the table before him; that the sweet air was
11621,stirring among the creeping plants outside.  And yet he was asleep.
11622,"Suddenly, the scene changed; the air became close and confined; and he"
11623,"thought, with a glow of terror, that he was in the Jew's house again."
11624,"There sat the hideous old man, in his accustomed corner, pointing at"
11625,"him, and whispering to another man, with his face averted, who sat"
11626,beside him.
11628,"'Hush, my dear!' he thought he heard the Jew say; 'it is he, sure"
11629,enough.  Come away.'
11631,"'He!' the other man seemed to answer; 'could I mistake him, think you?"
11632,"If a crowd of ghosts were to put themselves into his exact shape, and"
11633,"he stood amongst them, there is something that would tell me how to"
11634,"point him out.  If you buried him fifty feet deep, and took me across"
11635,"his grave, I fancy I should know, if there wasn't a mark above it, that"
11636,he lay buried there?'
11638,"The man seemed to say this, with such dreadful hatred, that Oliver"
11639,"awoke with the fear, and started up."
11641,"Good Heaven!  what was that, which sent the blood tingling to his"
11642,"heart, and deprived him of his voice, and of power to move!"
11643,"There--there--at the window--close before him--so close, that he could"
11644,have almost touched him before he started back:  with his eyes peering
11645,"into the room, and meeting his:  there stood the Jew!  And beside him,"
11646,"white with rage or fear, or both, were the scowling features of the man"
11647,who had accosted him in the inn-yard.
11649,"It was but an instant, a glance, a flash, before his eyes; and they"
11650,"were gone.  But they had recognised him, and he them; and their look"
11651,"was as firmly impressed upon his memory, as if it had been deeply"
11652,"carved in stone, and set before him from his birth. He stood transfixed"
11653,"for a moment; then, leaping from the window into the garden, called"
11654,loudly for help.
11663,"When the inmates of the house, attracted by Oliver's cries, hurried to"
11664,"the spot from which they proceeded, they found him, pale and agitated,"
11665,"pointing in the direction of the meadows behind the house, and scarcely"
11666,"able to articulate the words, 'The Jew! the Jew!'"
11668,Mr. Giles was at a loss to comprehend what this outcry meant; but Harry
11669,"Maylie, whose perceptions were something quicker, and who had heard"
11670,"Oliver's history from his mother, understood it at once."
11672,"'What direction did he take?' he asked, catching up a heavy stick which"
11673,was standing in a corner.
11675,"'That,' replied Oliver, pointing out the course the man had taken; 'I"
11676,missed them in an instant.'
11678,"'Then, they are in the ditch!' said Harry.  'Follow!  And keep as near"
11679,"me, as you can.' So saying, he sprang over the hedge, and darted off"
11680,with a speed which rendered it matter of exceeding difficulty for the
11681,others to keep near him.
11683,Giles followed as well as he could; and Oliver followed too; and in the
11684,"course of a minute or two, Mr. Losberne, who had been out walking, and"
11685,"just then returned, tumbled over the hedge after them, and picking"
11686,himself up with more agility than he could have been supposed to
11687,"possess, struck into the same course at no contemptible speed, shouting"
11688,"all the while, most prodigiously, to know what was the matter."
